TEAM_ID,DEFLECTIONS_PRE,CONTESTED_SHOTS_PRE,LOOSE_BALLS_RECOVERED_PRE,SCREEN_ASSISTS_PRE,CHARGES_DRAWN_PRE,DEFLECTIONS_POST,CONTESTED_SHOTS_POST,LOOSE_BALLS_RECOVERED_POST,SCREEN_ASSISTS_POST,CHARGES_DRAWN_POST,DELTA_DEFLECTIONS,DELTA_CONTESTED_SHOTS,DELTA_LOOSE_BALLS_RECOVERED,DELTA_SCREEN_ASSISTS,DELTA_CHARGES_DRAWN,SEASON
1610612756,15.31,59.82,8.09,8.22,0.82,14.78,61.11,5.56,7.39,0.44,-0.5300000000000011,1.2899999999999991,-2.5300000000000002,-0.830000000000001,-0.37999999999999995,2019-20
1610612757,12.55,61.77,6.77,11.18,0.39,14.67,59.17,6.61,11.72,0.22,2.119999999999999,-2.6000000000000014,-0.15999999999999925,0.5400000000000009,-0.17,2019-20
1610612758,16.69,61.91,7.28,9.02,0.33,14.67,62.11,8.06,10.89,0.56,-2.0200000000000014,0.20000000000000284,0.7800000000000002,1.870000000000001,0.23000000000000004,2019-20
1610612759,13.46,62.54,7.22,10.81,0.57,14.12,62.65,7.71,10.88,1.18,0.6599999999999984,0.10999999999999943,0.4900000000000002,0.07000000000000028,0.61,2019-20
1610612761,17.2,62.82,8.31,7.05,0.84,16.41,62.53,7.41,7.88,0.76,-0.7899999999999991,-0.28999999999999915,-0.9000000000000004,0.8300000000000001,-0.07999999999999996,2019-20
1610612762,11.43,59.74,6.31,12.69,0.31,11.22,57.83,7.0,11.22,0.56,-0.20999999999999908,-1.9100000000000037,0.6900000000000004,-1.4699999999999989,0.25000000000000006,2019-20
1610612764,14.74,60.72,7.74,9.21,1.34,16.11,55.95,8.11,10.05,1.05,1.3699999999999992,-4.769999999999996,0.3699999999999992,0.8399999999999999,-0.29000000000000004,2019-20
1610612737,14.25,53.28,6.61,7.69,0.44,13.67,51.72,4.5,12.08,0.22,-0.5800000000000001,-1.5600000000000023,-2.1100000000000003,4.39,-0.22,2020-21
1610612738,15.08,51.19,6.39,10.39,0.81,14.19,53.03,5.92,11.03,0.92,-0.8900000000000006,1.8400000000000034,-0.46999999999999975,0.6399999999999988,0.10999999999999999,2020-21
1610612751,13.19,55.84,5.3,10.49,0.35,13.14,53.6,5.71,9.26,0.97,-0.049999999999998934,-2.240000000000002,0.41000000000000014,-1.2300000000000004,0.62,2020-21
1610612766,14.97,52.09,6.63,8.69,0.91,15.57,52.89,5.7,7.51,0.62,0.5999999999999996,0.7999999999999972,-0.9299999999999997,-1.1799999999999997,-0.29000000000000004,2020-21
1610612741,13.41,57.47,6.35,11.85,0.82,12.37,53.55,5.32,9.0,0.42,-1.040000000000001,-3.9200000000000017,-1.0299999999999994,-2.8499999999999996,-0.39999999999999997,2020-21
1610612739,15.36,51.75,7.28,9.0,0.53,12.72,49.81,6.08,9.33,0.33,-2.639999999999999,-1.9399999999999977,-1.2000000000000002,0.33000000000000007,-0.2,2020-21
1610612742,12.82,53.35,5.65,11.03,0.59,11.42,51.61,5.47,12.53,0.53,-1.4000000000000004,-1.740000000000002,-0.1800000000000006,1.5,-0.05999999999999994,2020-21
1610612743,15.69,48.64,6.11,10.0,0.44,15.47,44.64,5.69,8.5,0.25,-0.21999999999999886,-4.0,-0.41999999999999993,-1.5,-0.19,2020-21
1610612765,14.08,49.47,6.67,10.17,0.69,12.75,52.33,5.39,9.11,0.42,-1.33,2.8599999999999994,-1.2800000000000002,-1.0600000000000005,-0.26999999999999996,2020-21
1610612744,16.62,58.16,6.54,10.65,0.7,14.46,52.8,5.54,12.37,0.63,-2.16,-5.359999999999999,-1.0,1.7199999999999989,-0.06999999999999995,2020-21
1610612745,15.06,50.5,6.68,7.88,0.71,12.53,49.5,5.84,6.63,0.61,-2.530000000000001,-1.0,-0.8399999999999999,-1.25,-0.09999999999999998,2020-21
1610612754,17.74,52.86,6.86,11.0,0.34,15.95,53.78,5.35,9.97,0.27,-1.7899999999999991,0.9200000000000017,-1.5100000000000007,-1.0299999999999994,-0.07,2020-21
1610612746,12.68,52.11,6.13,10.16,0.37,12.88,50.21,5.5,10.06,0.62,0.20000000000000107,-1.8999999999999986,-0.6299999999999999,-0.09999999999999964,0.25,2020-21
1610612747,14.43,52.24,6.41,7.7,1.32,14.71,48.71,5.89,8.23,1.09,0.28000000000000114,-3.530000000000001,-0.5200000000000005,0.5300000000000002,-0.22999999999999998,2020-21
